geometry_type,latitude,longitude,global_id,name,category,sub_type,management,education,poi_type,number_of_teachers,number_of_students,ward_code,source,ward_name,lga_code,lga_name,state_code,state_name,lon,lat,alternate_name
POINT,10.467541671000049,7.4223066670000435,0b12cb47-5e92-4511-8909-615aacb17654,Green Fields International School,Primary,Standard,Private,Integrated,School,,,KD1002,NMIS,Barnawa,19010,Kaduna South,KD,Kaduna,7.4223066670000435,10.467541671000049,
POINT,9.548921585000073,8.30613076700007,0b1e497d-c691-4851-a7d2-af64cb60dcdd,LGEA Unicef Model Primary School Tudun Wada Kaninkon,Primary,Standard,Public,Formal,School,,,KD0710,NMIS,Kaninkon,19007,Jema'A,KD,Kaduna,8.30613076700007,9.548921585000073,
POINT,9.792983334000041,8.51738666700004,0b1f871b-597e-4a7f-8f7f-c303a2a67880,Universal Basic Education Primary School,Primary,Primary,Public,Formal,School,,,KD1411,NMIS,Pari,19014,Kauru,KD,Kaduna,8.51738666700004,9.792983334000041,
POINT,9.779534341000044,8.274933880000049,0b26aea2-a6b5-4bc2-9ea8-03de4436a182,Government Girls College Zonkwa,Secondary,Standard,Public,Formal,School,,,KD2210,NMIS,Zonkwa,19022,Zangon Kataf,KD,Kaduna,8.274933880000049,9.779534341000044,
POINT,10.485125180000068,8.749580383000023,0b2cc0d6-3e87-4944-a540-f224a95a54b9,Universal Basic Education Jura Ll,Primary,Primary,Public,Formal,School,,,KD1702,NMIS,Dan Alhaji,19017,Lere,KD,Kaduna,8.749580383000023,10.485125180000068,
POINT,10.468131431000074,7.39783637000005,0b2e1363-fbbf-4571-b8fe-7447f31e6fed,Winny International School,Primary,Primary,Private,Formal,School,,,KD0208,NMIS,Nassarawa,19002,Chikun,KD,Kaduna,7.39783637000005,10.468131431000074,
POINT,11.196378201000073,7.580329120000044,0b432483-9b16-43c4-b588-22b2aaa1f000,LGEA Primary School Hayin Gada B,Primary,Standard,Public,Formal,School,,,KD0309,NMIS,Shika,19003,Giwa,KD,Kaduna,7.580329120000044,11.196378201000073,
POINT,10.999546051000038,7.637407780000046,0b624b3d-075d-40f5-8e32-191715763ff9,Universal Basic Education Tudun Gaude,Primary,Standard,Public,Formal,School,,,KD2301,NMIS,Dutsen Abba,19023,Zaria,KD,Kaduna,7.637407780000046,10.999546051000038,
POINT,10.923478600000067,6.757493019000037,0b6c4502-a835-4518-84c5-f00102db498b,Universal Basic Education Primary School Maganda Ii,Primary,Primary,Public,Formal,School,,,KD0105,NMIS,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna,6.757493019000037,10.923478600000067,
POINT,11.109092830000066,8.043687344000034,0b6f355a-d1b6-4aaa-a76f-c1842a559e25,Universal Basic Education Daa Primary School,Primary,Primary,Public,Formal,School,,,KD2110,NMIS,Turawa,19021,Soba,KD,Kaduna,8.043687344000034,11.109092830000066,
