lon,lat,school_name,ward_code,ward_name,lga_code,lga_name
7.349290252,9.419655205,Sanpat Royal Academy Nursery and Primary School,KD1102,Iddah,19011,Kagarko
8.63687928,9.357131801,LGEA Amantu,KD2004,Bokana,19020,Sanga
8.56795,9.818690001,LGEA Primary School,KD1406,Kamaru,19014,Kauru
7.460328341,9.815329313,Universal Basic Education Primary School Sabon Akilbu,KD0805,Dokwa,19008,Kachia
8.163464069,9.72525537,LGEA,KD2204,Kamantan,19022,Zangon Kataf
7.76498987,11.10540789,Universal Basic Education Anguwan Mairogo,KD2302,Dambo,19023,Zaria
8.36152214,10.68742209,Universal Basic Education Kampanin Jidda,KD1505,Kareh,19015,Kubau
7.77715837,10.04518752,Government Secondary School Maro,KD1208,Maro,19012,Kajuru
8.695601667,10.40457,LEA Primary School Hayingada Saminaka,KD1701,Abadawa,19017,Lere
8.044282794,9.595554471,Universal Basic Education Primary School Unguwan Gishiri,KD0810,Kurmin Musa,19008,Kachia
8.207374389,11.05693075,Normadic Primary School Filan Bature,KD1508,Mah,19015,Kubau
7.814143896,11.23452365,Universal Basic Education Hawan Maimashi,KD1801,Dan Damisa,19018,Makarfi
7.812808156,9.434788227,LGEA Primary School Anguwan Galadima Kubacha,KD1107,Katugal,19011,Kagarko
8.24527301,11.31158194,Universal Basic Education Nomadic Daba Mabuga Primary School,KD0504,Kurmin Kogi,19005,Ikara
7.4530671,10.44659202,Fradapal El-Shaddai School,KD0211,Sabon Tasha,19002,Chikun
8.033586144,9.683343173,Nomadic Primary School Kurmin Gyada,KD0811,Kwaturu,19008,Kachia
7.71659538,11.11011681,Zaria Children School GRA Sabon Gari,KD1905,Hanwa,19019,Sabon Gari
7.45640417,10.43297494,Universal Basic Education Primary School Unguwan Barde,KD0211,Sabon Tasha,19002,Chikun
8.104943633,9.587030412,Universal Basic Education Primary School Ungwan Kifi,KD0602,Daddu,19006,Jaba
7.68878243,11.08060275,Great Standard School,KD2309,Tukur Tukur,19023,Zaria
8.45928071,9.812348501,Government Secondary School Magamiya,KD2211,Zonzon,19022,Zangon Kataf
8.3104416,11.02844159,Universal Basic Education Bahori Primary School,KD1508,Mah,19015,Kubau
7.80621793,9.844578561,Government Secondary School,KD0803,Awon,19008,Kachia
8.41730685,9.86671164,LGEA Gidan Zaki,KD2211,Zonzon,19022,Zangon Kataf
8.536145,10.54666667,Universal Basic Education Primary School Kawo Mauda,KD1706,Kudaru,19017,Lere
7.64755541,10.90701255,Eccde Kamfanin Zangon Aya B Pre Primary School,KD0412,Zangon Aya,19004,Igabi
8.27702057,9.780206531,Government Girlsâ?? Secondary School,KD2210,Zonkwa,19022,Zangon Kataf
7.391545773,10.58699012,LGEA,KD0401,Afaka,19004,Igabi
8.29292357,9.578002096,Government Senior Secondary School Kafanchan,KD0707,Kafanchan A,19007,Jema'A
